notes,event_type
"On 10 March 2019, in Phatthalung's Pak Payoon district, there were six explosions: one explosion in a bicycle shop in tambon Pak Payoon; one explosion in a rubbish bin behind Anubal Pak Payoon School; one outdoor explosion in Pak Payoon; and an explosion inside a park near Phattalung train station. There was a bombing outside a plant-selling shop and also a bombing at an abandon house near the Pak Payoon Police Station. There was also the discovery of one suspicious bomb item behind a municipality sign in Pak Payoon. Later police reports allege the bombs were planted by Southern Muslim Separatists.",Other
"On 9 March 2019, two bombs exploded after they were planted in front of the provincial police office on Yatra Sawasdee road in Satun town, Mueang Satun, Satun province. The first exploded in a trash bin near a power post, and the second in an area holding impounded vehicles. No injuries reported. Later police reports allege the bombs were planted by Southern Muslim Separatists.",Other
"On 7 March 2019, a Muslim man was shot dead in a teashop by suspected Southern Muslim Separatists in Ban Buenae Pade in tambon Kadunong, Sai Buri district, Pattani province. The victim was drinking his tea when two men arrived on a motorcycle and one of them walked up to the victim and shot him once in the head. The attackers then fled the scene.",Violence against civilians
"On 7 March 2019, as reported to the Rueso district police in Narathiwat province, three gunmen emerged from a rubber forest to open fire on an oncoming sedan. When the car lost control and swerved off the road, one of the gunmen opened the door and fired more shots directly at the victim. The three gunmen fled in a pickup that came to the scene. The police believe it is over a drug-trafficking conflict.",Violence against civilians
"On 7 March 2019, about 10 people staged a demonstration at the Samui International Airport in tambon Bo Put, Ko Samui district, Surat Thani province to protest the insufficient compensation for the noise pollution from the airport by flying kites to block the end of the runway. Police and soldiers met with demonstrators and guaranteed to arrange a meeting for them so they would end the demonstration. [size=10]",Protests
"On 6 March 2019, a Muslim wan was shot four times in his torso, right thigh, and right arm, and left severely wounded in Sungai Kolok district, Narathiwat province. Given the instability in Thailand's southern provinces, this violence could be the attributable to Southern Muslim Separatists.",Violence against civilians
"On 6 March 2019, some 20 representatives led by P-Move were permitted to observe the National Legislative Assembly's discussions on the controversial amendment of the 1961 National Parks Act and its sister Wildlife Conservation Bill in Bangkok. They disrupted the meeting and tried to convince the NLA to scrap the two bills, as they are concerned about it allowing forest dwellers and communities to continue their existence in the forest. Police had to remove them after they refused to stop making noise. They were sent back to their campsite near Wat Benchamabophit. [size=20]",Protests
"On 5 March 2019, an assailant hit a well-known activist with a wooden stick, injuring his arm and head after he went to the Public Health Ministry in Bangkok city, to report the alleged use of hate speech and incitement of violence by a pro-military medical worker.",Violence against civilians
"On 4 March 2019, hundreds of security guards and their employers staged a demonstration outside the Government House gate in Bangkok to call on the government for help with the newly in effect Security Business Act BE 2558 (2015). The act lays out standards that security guards must now meet, and many of the current security guards say they have not been able to get their licenses in time. [size=hundreds]",Protests
"On 3 March 2019, paramilitary rangers clashed with suspected Southern Muslim Separatists in Jeu Kor (Moo 5), Dusongyor in Chanae district, Narathiwat province. Gunfire was exchanged for 30 minutes but no injuries or fatalities were reported. The rangers were trying to track down the injured separatists from a battle on 2 March 2019.",Other
"On 3 March 2019, the body of a civilian was found lying behind the Sababu Islamiyah Mosque in Ban Rueso in Yaring district, Pattani province. He had been shot once in the back of the head. The police do not know the motive for the killing and say it probably could have been the result of a personal conflict. As it is in the Deep South, this violence might be linked to the Southern Muslim Separatist violence.",Violence against civilians
"On 2 March 2019, a team of deployed paramilitary rangers clashed with 4-5 suspected Southern Muslim Separatists gathered at the foothill of a mountain in Ban La Lo (Moo 5) in Rueso district, Narathiwat province. One separatist was killed, several were injureed and an M16 rifle was seized. The separatists were believed to be members of the Barisan Revolusi Nasional (BRN).",Other
"On 2 March 2019, thousands of Thai Raksa Chart supporters staged a rally in the historic centre of Bangkok city, Phra Nakhon district, Bangkok, ahead of a Constitutional Court ruling on 7 March that could end their prospects in the national elections later that month. [size=thousands]",Protests
"On 2 March 2019, throngs of Pheu Thai party supporters staged a rally in a stadium in Chiang Mai city, as the party members promised developments and incentives for entrepreneurs in the northern city. This was done ahead of a Constitutional Court ruling on 7 March that could end their prospects in the national elections later this month. [size=throngs]",Protests
"On 28 February 2019, two men on a motorcycle shot and killed a soldier as he was returning to base after a football game in Ban Du Ku Surao, tambon Bareh Nuea, Bacho district, Narathiwat province. He was found severely injured and later died in hospital. Police believe the assailants are Southern Muslim Separatists.",Other
"On 27 February 2019, unidentified gunmen shot a man dead in Pattani province. As it is in the Deep South, this violence might be linked to the Southern Muslim Separatist violence.",Violence against civilians
"On 26 February 2019, two policemen were abducted at gunpoint by eight armed men wearing military-type uniforms from a tea shop in tambon Bu Kit, Cho-Airong district, Narathiwat province. They were then shot and dumped in a ditch 200 meters from where they were abducted. The stolen vehicle used in the abduction was found burnt out in the neighbouring Tak Bai district. The assailants, which given the violence in the region was most likely done by Southern Muslim Separatists, have fled and taken possession of an M16 rifle and two 9mm pistols that belonged to the slain policemen.",Other
"On 26 February 2019, around 100 men staged a demonstration at the Bang Khunthian police station in Bangkok, demanding that the 24 men detained there for disturbing university entrance exams on 24 February apologise for their actions. [size=100]",Protests
"On 26 February 2019, a roadside bomb exploded at Ban Ubae village in tambon Bacho in Bannang Sata district, Yala province, when a paramilitary ranger team was patrolling the road to provide protection for teachers. One ranger was killed and another injured. A female civilian on a motorcycle nearby was also injured. Police placed responsibility for the bomb on the Southern Muslim Separatists. Bomb disposal officers found a second bomb nearby after investigating the scene and safely destroyed it.",Other
"Reported on 25 February 2019, business operators and locals staged a demonstration in the area of Kata Noi beach in tambon Karon, Phuket province, against the construction of a luxury condominium in the area. [size=no report]",Protests
"On 24 February 2019, a group of 24 young men raided and disturbed a secondary school's admissions exam by ordering the students and teachers to leave, damaging the room and injuring a security guard at Matthayom Wat Sing School in Bang Khuntian district in Bangkok when complaints about the noise of their music were lodged. In total, 12 people reported being injured and some schoolgirls and teachers alleged sexual harassment. [size=24]",Riots
"On 24 February 2019, three Myanmar workers were shot and wounded by the son of a pork shop owner where they live in Mahar Chaing market in Samut Sakhon province. This occured following an argument that occurred between the son and the workers.",Violence against civilians
"On 21 February 2019, a shootout between drug traffickers in two Toyota trucks and police broke out early in the morning on a road leading to Moo 4 village of tambon Pa Sang in Mae Chan district (Mae Chan, Chiang Rai) after police were waiting due to a tip-off. A five-minute exchange resulted in one of the drivers, an Akha Hill Tribesman, being shot dead, while the other fled on foot and escaped. Large amounts of pills were found.",Other
"On 21 February 2019, anti-paraquat organizations, the Thai Pesticide Alert Network, Biothai Foundation and farmers staged a demonstration outside the Ministry of Industry in Bangkok city (Phra Nakhon, Bangkok) against the decision for a toxic herbicide linked to Parkinson's disease to be approved by officials for use in Thai agriculture for two more years. [size=no report]",Protests
"On 21 February 2019, more than 200 employees continued their week-long demonstration against the Gamakatsu International Co in Ban Khlong Nueng (Khlong Luang, Pathum Thani) for its decision to suspend operations in response to the labour union's request for better pay and benefits. [size=200]",Protests
"On 20 February 2019, small groups of pro- and anti-military activists staged conflicting demonstrations on Ratchadamnoen Avenue in Bangkok City (Phra Nakhon, Bangkok) to express opinions on the army chief's choice to play an anti-communist song from the mid-1970s over the army's radio outlets and army units. One side said the lyrics accused political opponents of undermining society, whereas the other side was for the military's choices. About 50 police supervised and kept the groups separated. [size=small groups]",Protests
"On 20 February 2019, police said Southern Muslim Separatists opened fire on a Buddhist temple in Moo 5 village in tambon Ban Klang (Panare, Pattani). Witnesses said there were 10 gunshots but none of the 5 monks living there were injured.",Violence against civilians
"On 19 February 2019, a local resident and his wife while driving home were targeted by a drive-by shooting by two men, suspected southern Muslim separatists, on a motorcycle between tambon Koror and tambon Karubee in Raman district (Raman, Yala), resulting in the resident's death. His wife escaped unharmed.",Violence against civilians
"Defusal: On 19 February 2019, on Inthamara 55 Road in Din Daeng district in Bangkok city (Phra Nakhon, Bangkok), after identifying a suspect placing what looked like bombs, an IED and L56 practice grenade, at the base of a power pole from surveillance camera footage, police closed the road and bomb experts removed them. It was later discovered that the practice grenade was powerless and the other was fake. They do believe it was intended to be a threat.",Other
"On 17 February 2019, about 50 motorcycle taxi operators staged a demonstration at a checkpoint between Thailand and Malaysia in Sadao district (Sadao, Songkhla) and obstructed the passages of vehicles in protest against Malaysia's strict inspection of documents on motorcycle taxis taking passengers from the checkpoint to the duty-free shop. [size=50]",Protests
"On 17 February 2019, a ranger was shot dead in his home in Moo 10 village in tambon Pawong in Mueang Songkhla district, in Songkhla province when a gunman inserted a barrel through the front door and opened fire, hitting him in the chest. The police haven't established motive, but the assailants are believed to be suspected southern Muslim separatists.",Violence against civilians
"On 14 Feb 2019, in Chokaladee village, Yaha district, Yala province, two farmers were killed at a fruit plantation by gunmen (suspected separatists).",Violence against civilians
"On 14 February 2019, more than 200 employees began demonstrating and striking against the Gamakatsu International Co in Ban Khlong Nueng (Khlong Luang, Pathum Thani) over their refusal to acquiesce to the labour union's request for better pay and benefits. A day later the company suspended operations. [size=200]",Protests
"On 14 Feb 2019, in Ban Pa Phai village, Tambon Tanyong, Ra Ngae district, Narathiwat state, a bomb exploded when four rangers were approaching. No one was injured. A makeshift shelter for vendors was damaged. It is suspected that the bomb was planted by Southern Muslim Separatists.",Other
"On 12 Feb 2019, in tambon Pasemat, Sungai Kolok district, Narathiwat state, two gunmen (suspected separatist) on a motorcycle opened fire at two Malaysian nationals at a garage. One was killed and the other was wounded.",Violence against civilians
"On 11 Feb 2019, in Ailakho village, tambon Chang Phueak, Chanae district, Narathiwat state, a gun battle between security forces and suspected separatists took place. Two separatists were shot dead and four to five were wounded.",Other
"On 11 Feb 2019, in Min Buri district of Bangkok, the police shot and killed a vocational student during a gun battle. After a drug raid, the student had followed the police car and during the ensuing firefight he was killed. The police were accused of using excessive force.",Other
"On 10 Feb 2019, at Village Group 7 of tambon Pulo Puyo in Nong Chik district, Pattani province, two men (suspected separatists) on a motorcycle opened fire on a villager who was riding a motorcycle with his nephew. The villager was seriously wounded and later pronounced dead at the hospital.",Violence against civilians
"On 10 Feb 2019, at Village Group 5 in tambon Lahan, Sai Buri district, Pattani state, a villager on a motorcycle was shot and killed by two men (suspected separatists) on another motorcycle.",Violence against civilians
"On 5 Feb 2019, in Ban Sipo village, Tambon Chalerm, Ra-ngae district, Narathiwat province, suspected separatists opened fire at a civilian defense official of Ra-ngae on a motorcycle. He sustained injuries and was brought to hospital.",Other
"On 4 Feb 2019, in tambon Pasemat, Su-Ngai Kolok district, Narathiwat province, suspected separatists opened fire on a police officer on a motorcycle. The officer was injured and a civilian, who was passing by, was killed.",Other
"On 3 Feb 2019, in Da-oh Mamah, tambon Ban Klang, Panare district, in Pattani province, a Muslim man was shot and killed by suspected separatists when walking on the street. [The police initially suspected a personal conflict, but did not rule out that separatists were involved.] 1 fatality.",Violence against civilians
"On 2 Feb 2019, in Bangkok, five pro-democracy activists, among them students, protested in front of the Government house, demanding the prime minister's resignation. The activists tried to submit a letter to the PM and hung dried chilies, salt and garlic on the fence (traditionally burned to curse some one). They were arrested by the police.",Protests
"On 28 Jan 2019, near Ban Si Tha Nam, in Than To district, Yala province, a border patrol policeman was killed by separatists. After an alert from local residents, he had left his station at Ban Sri Tha Nam School to check a cooking gas cylinder left by the roadside where he was ambushed by an unknown number of men.",Other
"On 27 Jan 2019, in Bangkok, protesters from a network protecting Nakhon Si Thammarat-Phatthalung land, water and forest rallied at the Government House to protest against the government's water projects in the South.",Protests
"On 26 Jan 2019, in Ban Rai village, tambon Che Hae, Tak Bai district, Narathiwat province, a small bomb detonated by a rental house as soldiers on motorcycles were passing by. The bomb, made of a plastic water bottle, is suspected to have been planted by Southern Muslim Separatists. No casualties.",Other
"Around 26 Jan 2019, in Bangkok, a Vietnamese blogger for Radio Free Asia (RFA) appeared to have gone missing after applying for asylum at the UN Refugee Agency.",Violence against civilians
"On 26 Jan 2019, near Ban Khokin, tambon Chuap, Cho Airong district, Narathiwat province, a bomb, buried in a drain, exploded when a truck carrying a team of rangers drove past it. It is suspected to have been planted by Southern Muslim Separatists. The explosion damaged the road, but no one was injured.",Other
"On 26 January 2019, unknown assailants set a well-known activist's car on fire outside his house in Bang Kapi district in Bangkok city. This was most likely in retaliation for the activist speaking out to demand the government hold elections without further delay.",Other
"On 25 Jan 2019, in Ban Ba Sa Weng village, tambon Krong Pinang, Krong Pinang district, Yala province, a bomb exploded wounding three civilians and three police officers providing protection for teachers. Authorities blamed Southern Muslim Separatists and believed it was the work of a group led by Yahya Bueraheng.",Other
"On 25 Jan 2019, in Bangkok, residents from Nakhon Si Thammarat demonstrated against the construction of the Wang Heeb Dam in Thing Song district.",Protests
"On 25 Jan 2019, in Mueang Phuket, Phuket province, Rawai and Nai Harn locals held a protest against the rise in Dengue Fever cases in the area.",Protests
"On 19 Jan 2019, near Ban Ta Ya Lo, tambon Tuyong, Nong Chik district, Pattani province, a bomb exploded on the side of a road. Security authorities blamed separatists. Two policemen, patrolling the route on teacher protection duty, were seriously injured.",Other
"On 19 Jan 2019, in Bangkok, 30 to 50 people gathered at the Democracy Monument protesting for national unity and against unrest caused by rallies against election delays. Meanwhile, hundreds of people gathered at the Thammarat University to demand an end to delays in the general election. The group had moved the planned protest away from the Democracy Monument to avoid clashes with opposing protesters.",Protests
"Around 19 Jan 2019, in Tambon Thung Tako of Thung Tako district, Chumphon province, a vocational student was shot dead and found two days later in a creek in a rubber plantation.",Violence against civilians
"On 19 January 2019, four assailants punched and kicked a well-known activist near Thammasat University in Bangkok city, after he was returning from a protest demanding that the government should hold elections without further delays.",Violence against civilians
"On 18 Jan 2019, in Ban Tue Kor, tambon Chanae, Chanae district, Narathiwat province, police and paramilitary rangers raided a rubber plantation when encountering five armed suspected separatists. During the following gunfire one separatist was killed, presumably others were wounded.",Other
"On 18 Jan 2019, in To Deng, Sungai Padi district, Narathiwat province, a bomb (suspected to have been planted by Southern Muslim Separatists) exploded at To Deng train station when a soldier and five paramilitary rangers were patrolling the area. The patrol opened fire into roadside bushes. A second bomb exploded, wounding five of them.",Other
"On 18 Jan 2019, in Ban To Deng, Sungai Padi district, Narathiwat province, a group of suspected separatists entered at Wat Rattananuparb, a Buddhist temple, shot several rounds and then escaped. Two monks were killed and two injured.",Violence against civilians
"On 16 Jan 2019, in Khon Kaen, Khon Kaen province, about 40 Khon Kaen University students staged a protest at the university gate against delays to the general election. Nearly 40 police officers checked IDs of the protesters but did not intervene.",Protests
"On 16 Jan 2019, in Ban Klong Haeng village, tambon Khao Phanom, Khao Phanom district, Krabi province, a woman was shot and killed by two gunmen hiding on the plantation next to their house.",Violence against civilians
"On 16 Jan 2019, in Ban Tha Ngio, Nakhon Si Thammarat province, hundreds of students of Rajabhat Nakhon Si Thammarat University staged a protested demanding the university director to resign. The students were accusing him of abusing his authority and making questionable decisions on school affairs.",Protests
"On 13 Jan 2019, in Napradu, Khok Pho district, Pattani province, at least six men (suspected southern separatists) on motorcycles opened fire on the Napradu police station. A police sergeant was shot and killed.",Other
"On 13 Jan 2019, in Bangkok, about 150 people staged a protest at Ratchaprasong Junction against delays to the general election. The protesters were demanding the election be held before the king's coronation in May.",Protests
"On 13 Jan 2019, in Chiang Mai, Chiang Mai province, about 20 people staged a protest at the city hall against delays to the general election.",Protests
"On 13 Jan 2019, in Chiang Rai, Chiang Rai province, a protest was held to demand an end to delays in the general election.",Protests
"On 13 Jan 2019, in Ubon Ratchathani, Ubon Ratchathani province, a protest was held to demand an end to delays in the general election.",Protests
"On 13 Jan 2019, in Phayao, Phayao province, a protest was held at the provincial hall to demand an end to delays in the general election.",Protests
"On 13 Jan 2019, in Nakhon Pathom, Nakhon Pathom province, a protest was held to demand an end to delays in the general election. Among the protesters were several public figures, including a deputy leader of the Future Forward Party.",Protests
"On 13 Jan 2019, in Maha Sarakham, Maha Sarakham province, a protest was held to demand an end to delays in the general election. Among the protesters were students of the Maha Sarakham University.",Protests
"On 13 Jan 2019, in Khon Kaen province, a protest was held to demand an end to delays in the general election.",Protests
"On 13 Jan 2019, in Moo 7 village, Kabang tambon, Kabang district, Yala province, suspected separatists entered the house of two MP candidates of the Thai Nation Power Party, tied them up and shot them dead.",Violence against civilians
"On 12 Jan 2019, in tambon Talorkapor (Yaring, Pattani), a five hours clash took place between the police and suspected southern separatist allegedly linked with the school shooting on 10 Jan 2019. Two separatists were killed. A volunteer ranger and an eight-year-old child were slightly injured.",Other
"On 10 Jan 2019, in tambon Prachan (Yarang, Pattani) about eight armed men dressed like soldiers (suspected separatists) opened fire on defence volunteers at Bukoh school. Four defence volunteers were killed.",Other
"On 9 Jan 2019, in Chiang Mai (Mueang Chiang Mai, Chiang Mai), about 200 people marched under the banner of 'Walk to Vote' against further delays to the general election scheduled for February.",Protests
"On 9 Jan 2019, in Nakhon Ratchasima (Mueang Nakhon Ratchasima, Nakhon Ratchasima) people demonstrated at the Thao Suranari Monument against further delays to the general election scheduled for February.",Protests
"On 8 Jan 2019, in Ban Nikhom, tambon Tha Muang (Thepha, Songkhla), a bomb exploded near Huai Pling police station in a car that was recently stolen by separatists. Authorities suspected the Barisan Revolusi Nasional (BRN). The explosion destroyed a power transformer causing a widespread blackout. Two soldiers were injured.",Other
"On 8 Jan 2019, in Ban Pong Sakhor in tambon Moh Mawee (Yarang, Pattani), a bomb detonated in front of a local non-formal education center. It is suspected that it was planted by Southern Muslim Separatists. A private and a 12-year-old schoolgirl were injured.",Other
"On 8 Jan 2019, in Bangkok, hundreds of protesters staged a demonstration at Ratchaprasong intersection against delays in the national election scheduled for February.",Protests
"On 7 Jan 2019, Saba Yoi district (Songkhla), suspected separatists killed a retired teacher and used his pickup truck to launch a car bomb that detonated early next day near Huai Pling police station. Authorities suspected the Barisan Revolusi Nasional (BRN). 1 fatality.",Violence against civilians
"On 6 Jan 2019, in Bangkok, around 100 pro-poll activists gathered at the Victory Monument to demonstrate against a possible delay of the general election planned for 24 Feb.",Protests
"Around 5 Jan 2019, in Mae Fah Luang district (Chiang Rai), a firefight took place between army rangers and drug couriers at the Thai-Myanmar border. Four drug suspects were killed.",Other
"A bombing took place related to separatism/independence. No injuries, no fatalities.",Other
"On 30 Dec 2018, in Ban Bae Rae village, tambon Bor Ngor (Ra-Ngae, Narathiwat), two bombs exploded damaging two roadside power poles. It is suspected that they have been planted by Southern Muslim Separatists. No casualties.",Other
"On 29 Dec 2018, in Pattani province, a woman was shot and killed in an attack by suspected Southern Muslim Separatists.",Violence against civilians
"On 29 Dec 2018, tambon Si Sakhon (Si Sakhon, Narathiwat), suspected separatists ambushed a pickup truck carrying three rangers. During the subsequent gunfire, the three rangers were seriously injured.",Other
"On 29 Dec 2018, in tambon Pado (Mayo, Pattani), an assistant to the chief of tambon Pado was shot and killed by a gunman (suspected separatist) hiding in front of his house. The assistant was known to be active in drug suppression. 1 fatality.",Violence against civilians
"On 29 Dec 2018, near Ban Ya Ba (Rueso, Narathiwat), at least four bombs exploded, damaging train tracks, a cell phone-signal pole and an electricity pole. The bombs were suspected to have been planted by Southern Muslim Separatists. No casualties.",Other
A dead body was discovered. It unclear what caused the death.,Violence against civilians
A shooting took place with unclear motives. One fatality (a woman) reported.,Violence against civilians
A shooting took place with unknown causes. Guns were used. One injury and no fatalities reported.,Other
"Four bombings took place related to separatism/independence. No injuries, no fatalities.",Other
"On 28 Dec 2018, tambon Ka Li Sa (Ra-Ngae, Narathiwat), a number of armed men (suspected separatists) opened fire on a security outpost. Subsequently the armed group and defence volunteers exchanged fire for 30 minutes. Meanwhile, another group blocked the way to the outpost by cutting a tree and scattering metal spikes over the road. No fatalities noted.",Other
"On 28 Dec 2018, Chanae district (Narathiwat), four bombs exploded near power poles and a bridge. It is suspected that they have been planted by Southern Muslim Separatists. No casualties.",Other
"On 28 Dec 2018, Khok Yamu village (Tak Bai, Narathiwat), a bomb explosion damaged a power pole. It is suspected that it was planted by Southern Muslim Separatists. No casualties.",Other
"A bomb was defused, resulting in zero injuries and zero fatalities. The bomb was planted for separatist/independence related reasons.",Other
A shooting took place with unclear motives. One fatality reported.,Violence against civilians
"On 28 Dec 2018, Si Sakhon district (Narathiwat), two bombs exploded. One went off under a bridge in Sakor village, tambon Sri Sakhon, injuring four villagers. The second damaged a power pole at La-or village in tambon Sri Banphot. It is suspected that they have been planted by Southern Muslim Separatists.",Other
"Six bombings took place related to separatism/independence. No injuries, no fatalities.",Other
"On 28 or 29 Dec 2018, in Ban Bo Thong (Ra-Ngae, Narathiwat), a bomb exploded near a roadside power pole. It is suspected that it has been planted by Southern Muslim Separatists. No casualties.",Other
"Security measures: On 27 Dec 2018, Songkhla, (Muang, Songkhla), security authorities closed Samila beach and nearby roads after two bombs exploded at the beach the day before.",Other
"On 27 Dec 2018, in Mukdahan province, a candidate of the newly established New Alternative party was shot and killed by unknown. Other party members suspect a local gang killed him as he was investigating a corruption case. 1 fatality.",Violence against civilians
"On 27 Dec 2018, in That Phanom district, Nakhon Phanom province, a body, wrapped in brown sacks along with blocks of cement, was found on the shore of the Mekong River. DNA tests show that he was one of three exiled activists, associated with the anti-military red shirt movement, who disappeared in December from Laos.",Violence against civilians
"Defusal: On 27 Dec 2018, Songkhla, (Muang, Songkhla), security authorities found and destroyed three bombs at Samila beach after two bombs had exploded the day before. The police suspected Barisan Revolusi Nasional.",Other
"Defusal: On 27 Dec 2018, tambon Tha Chang (Bang Klam, Songkhla), security officials found and destroyed fours bombs attached to four power poles. It is suspected that they have been planted by Southern Muslim Separatists.",Other
A shooting took place with unclear motives. One fatality reported.,Violence against civilians
"An attack/clash involving firearms took place. No injuries, no fatalities. The event was separatism/independence related.",Other
"On 26 Dec 2018, tambon Bang Riang (Khuan Niang, Songkhla), two bombs damaged two high voltage power poles (suspected to have been planted by Southern Muslim Separatists). No casualties.",Other
"On 26 Dec 2018, Songkhla, (Muang, Songkhla) two bombs exploded around 10:30 pm at Samila beach. No casualties, but two sculptures were damaged. The police suspected Barisan Revolusi Nasional.",Other
"Around 26 Dec 2018, in Muang district, Nakhon Phanom province, a body, wrapped in brown sacks along with blocks of cement, was found on the shore of the Mekong River. DNA tests show that he was one of three exiled activists, associated with the anti-military red shirt movement, who disappeared in December from Laos.",Violence against civilians
"A bombing took place for uknown reasons. No injuries, no fatalities.",Other
"On 25 Dec 2018, in Mueang district (Pattani), a shooting took place in front of Ban Tha Rab Mosque. The police were investigating if it was related to Southern Muslim Separatists. One imam was shot and killed.",Violence against civilians
"Arrests: On 25 Dec 2018, in Mae Sot district (Tak), the immigration police detained 87 migrant workers.",Other
A shooting took place with unclear motives. One fatality reported.,Violence against civilians
"On 24 Dec 2018, Ban Batu village, Palu Kasamoh tambon (Bacho, Narathiwat), on Phetkasem Highway, a roadside bomb exploded when a police truck drove past it. The police believe that it was planted by Southern Muslim Separatists. One policeman was killed and five injured.",Other
A bombing took place with separatist/independence related motives. One police officer died and five others were injured.,Other
A shooting took place with unknown causes. Guns were used. Two injuries and no fatalities reported.,Other
Two shootings took place with unclear motives. One fatality - an Islamic leader -reported. Another fatality also occurred.,Violence against civilians
"On 24 Dec 2018, in Kenya village (Yaha, Yala), a bomb exploded (suspected to be planted by Southern Muslim Separatists) when eight policemen were protecting a group of teachers. Four policemen were injured.",Other
