event_date,year,event_type,actor1,assoc_actor_1,location,notes,link
3-Apr-19,2019,Violence against civilians,bjp,,Kolkata,"On April 3, a TMC worker was attacked with a sickle by a BJP supporter at Beota, under the Leather Complex in Kolkata city (Kolkata, West Bengal), ahead of the Parliamentary elections. The victim's wife is a gram panchayat member.",https://timesofindia.indiatimes.com/city/kolkata/trinamool-oppn-in-blame-game-as-workers-injured-during-wall-writing/articleshow/68730594.cms
2-Apr-19,2019,Protests,Protesters (India),,Madurantakam,"On 2 Apr, in Mudurantakam area (Kanchipuram, TN), residents of KK Pudur village, most of them women, staged a sit-in protest at a community hall demanding the relocation of an incinerator handling medical waste in their neighbourhood.",https://timesofindia.indiatimes.com/city/chennai/no-votes-unless-incinerator-is-shifted-out-say-villagers/articleshow/68696305.cms
17-Feb-19,2019,Protests,bjp,,Dehradun,"On 17 Feb, the BJP held a protest outside a girls hostel in the Sudhowala area of Dehradun city (Dehradun, Uttarakhand).",https://timesofindia.indiatimes.com/city/dehradun/thousands-turn-up-to-pay-last-respects-to-jawans/articleshow/68028123.cms
16-Feb-19,2019,Protests,bjp; congress; JD(S): Janata Dal (Secular),,Mulki,"Assumed on 16 Feb, in Mulki (Dakshina Kannada, Karnataka), Congress, BJP, and JD-S members staged a protest against the merger of Dena Bank and Vijaya Bank with Bank of Baroda.",https://timesofindia.indiatimes.com/business/india-business/political-criticism-of-vijaya-bank-merger-too-little-too-late/articleshow/68021189.cms
15-Feb-19,2019,Protests,congress,,Silchar,"On February 15, people staged a candlelight march in Silchar city (Cachar, Assam), in protest against the attack by Pakistan-backed militants in Kashmir's Pulwama district, on February 14. Congress members took part in the protest.",https://timesofindia.indiatimes.com/city/guwahati/pulwama-attack-protesters-burn-pakistan-flags-across-ne/articleshow/68015374.cms
15-Feb-19,2019,Protests,congress,,Guwahati,"On February 15, Congress members organized a prayers meeting at Rajiv Bhavan in Guwahati city (Kamrup Metropolitan, Assam), in protest against the attack by Pakistan-backed militants in Kashmir's Pulwama district, on February 14.",https://timesofindia.indiatimes.com/city/guwahati/pulwama-attack-protesters-burn-pakistan-flags-across-ne/articleshow/68015374.cms
15-Feb-19,2019,Protests,congress,,Bicholim,"Assumed on 15 Feb, in Bicholim town (North Goa, Goa), residents of Bicholim, including Bicholim Bachao Abhiyan and Bicholim block Congress committee, staged a candlelight rally to pay respects for soldiers killed during the Pulwama attack in J&K. ",https://timesofindia.indiatimes.com/city/goa/terror-attack-bicholim-canacona-hold-peace-march/articleshow/68030407.cms
6-Feb-19,2019,Protests,congress,,Lucknow,"On 6 February, the opposition parties in Uttar Pradesh Assembly in Lucknow (Lucknow, Uttar Pradesh) staged a walkout protest over the issue of back payments for sugarcane farmers.",https://timesofindia.indiatimes.com/city/lucknow/bitter-over-mounting-cane-dues-opposition-stages-walkout-in-up-assembly/articleshow/67879454.cms
31-Mar-19,2019,Riots,congress,bjp,Ahmedabad,"On 31 March, workers of the Congress and the BJP scuffled during the shooting of a TV show in Ahmedabad city (Gujarat)",https://timesofindia.indiatimes.com/city/ahmedabad/bjp-congress-workers-clash-during-tv-debate/articleshow/68662463.cms
27-Mar-19,2019,Protests,congress,,Patna,"On 27 March, Congress workers from Nalanda staged a dharna at the party's state headquarters in Patna city (Bihar) against the decision to leave the seat for Hindustani Awam Morcha (Secular) led by former CM Jitan Ram Manjhi.",https://timesofindia.indiatimes.com/city/patna/congress-workers-stage-dharna/articleshow/68603525.cms
27-Mar-19,2019,Riots,bjp,CPI(M): Communist Party of India (Marxist),Udaipur,"On March 27, three suspected BJP workers pelted stones at the convoy of a CPI-M leader and MP in Udaipur area (Gomati, Tripura), as the convoy was returning from a a campaign programme. There had been reports of violent attacks in the state ahead of the Parliamentary elections.",https://timesofindia.indiatimes.com/city/agartala/cpm-convoy-attacked-in-tripura-1-arrested/articleshow/68620502.cms
18-Mar-19,2019,Protests,bjp; Government of India (2014-); Labour Group (India),,Jaipur,"On 18 March, dairy owners, a BJP MP and councillors staged a protest and surrounded a Jaipur Municipal Corporation (JMC) vehicle at Gurjar colony in Jaipur city (Rajasthan) for following the orders of the Rajasthan high court of seizing the cattle of dairy owners around Jaipuria Hospital. They demanded the release of the cattle.",https://timesofindia.indiatimes.com/city/jaipur/bjp-leaders-protest-against-seizing-of-cattle-by-jmc/articleshow/68476187.cms
12-Mar-19,2019,Protests,congress; Government of India (2014-),,Chevella,"On 12 Mar, in Chevella tehsil (Rangareddy, Telangana), the INC along with other senior leaders from Ranga Reddy district staged a hunger strike protest against the ruling TRS for not implementing irrigation projects in the district. Police took 2 MP's, a former MP, and other leaders in custody and later released.",https://timesofindia.indiatimes.com/india/congress-trs-battle-it-out-in-chevella-ls-seat/articleshow/68760750.cms
7-Mar-19,2019,Riots,congress; Government of India (2014-),,Rajkot,"On 7 March, supporters of suspended Hemchandracharya North Gujarat University (HNGU) vice chancellor BA Patel and Patan Congress MLA Kirit Patel clashed in Rajkot city (Gujarat) following the suspension of the vice chancellor on corruption charges.",https://timesofindia.indiatimes.com/city/rajkot/clash-over-hngu-vcs-suspension/articleshow/68310533.cms
