notes,event_type
"Property destruction: On 13 February 2019, a vehicle used for public transportation was torched in the parking lot of the Lestari Jaya minimart in Tegowanu Wetan village in Tegowanu (Grobogan, Central Java). This is part of a string of 28 coordinated vehicular arson attacks by unidentified perpetrators in Kendal, Grobogan and the Semarang Regency since December 2018. Police suggest it is organized and by people specifically trained. They surmise it is to create fear before the presidential election and they have formed a special team to counter the acts of terror in Central Java.",Other
"Reported on 11 February 2019, Indonesian police used a live snake to intimidate a Papuan drug suspect during an interrogation in Jayawijaya district coded at Wamena town (Kabupaten Jayawijaya, West Papua) which a human rights lawyer has commented was torture with features of racism.",Violence against civilians
"On 10 February 2019, more than 100 Indonesian entertainers staged a demonstration rally carrying placards and playing guitars and drums in Bogor city (Bogor, West Java) against a draft law seeking to ban blasphemous and ""pornographic"" music content, as they believe it will be used to stifle freedom of expression.",Protests
"On 06-February-2019, several demonstrators rallied to mark Kashmir Solidarity Day outside the Embassy of India in Jakarta.",Protests
"On 3 February 2019, ""moral vigilantes"" tailed an individual to his home in Curug town, Banten province and after witnessing him engaging in sexual relations with his girlfriend, they broke into his house and severely attacked him, hospitalizing him.",Violence against civilians
"On 2 February 2019, two government Corruption Eradication Commission (KPK) investigators were assaulted by unidentified men while tailing Papua Governor Lukas Enembe at the Borubdur Hotel in Sawah Besar district, Central Jakarta, Jakarta and suffered severe injuries requiring medical operations.",Violence against civilians
"On 1 February 2019, a Polish man in the police detention center in Wamena town (Kabupaten Jayawijaya, West Papua) was visited by men wearing T-shirts with ""Brimob"" (short name for Indonesia's paramilitary police) and assaulted and threatened with death by them while the prison guards watched. The Polish man is awaiting trial for treason for meeting with Papuan independence supporters.",Violence against civilians
"Reported 24 March 2019 as happening between 4 December 2018 and now, coded at 1 February 2019, a number of extra-judicial killings were committed by security forces in the Mapenduma district, Nduga regency, Papua. A man that was shot dead to the forehead, another man sustained a bullet wound in the right chest and the left thigh as he was running to the river and later succumbed, and a Reverend was shot dead, the body allegedly burned with his mattress behind his house. These events are part of a number of extra-judicial killings committed by the security force operation in Nduga Regency since 4 December 2018.",Violence against civilians
"Reported 24 March 2019 as happening between 4 December 2018 and now, coded at 1 February 2019, a number of extra-judicial killings were committed by security forces in the Nirkuri district coded at Kenyam city, Nduga regency, Papua. A man that was shot dead, another that was shot in the chest and other parts of his body before he died, and a woman died from severe burnings, body turning black after coming into contact with smoke when the military dropped explosives during an air raid. These events are part of a number of extra-judicial killings committed by the security force operation in Nduga Regency since 4 December 2018. Additionally a man with mental disabilities was tortured in Nirkuri district. The military hit him with a rifle butt, beat him to the neck, and soldiers allegedly tied him with a rope and pulled him over the airstrip.",Violence against civilians
"Reported 24 March 2019 as happening between 4 December 2018 and now, coded at 1 February 2019, a number of extra-judicial killings were committed by security forces in Yigi district, Nduga regency, Papua, including a man burned alive inside his wooden hut. These events are part of a number of extra-judicial killings committed by the security force operation in Nduga Regency since 4 December 2018.",Violence against civilians
"Between 4 December 2018 and 31 March 2019, it has been reported that over 37,000 people, and primarily Papuans, have been displaced from 10 districts in Nduga Regency, Papua province, and have taken refuge in caves and forests near their villages. This is due to ongoing clashes between the army and separatists. Of the 16 schools in Nduga, 15 have now been closed.",Other
"Between 4 December 2018 and 31 March 2019, the military has reportedly shut down and destroyed at least 34 churches during their operations in the regency.",Other
"Between 4 December 2018 and 31 March 2019, it has been reported that over 37,000 people, and primarily Papuans, have been displaced from 10 districts in Nduga Regency, Papua province, and have taken refuge in caves and forests near their villages. This is due to ongoing clashes between the army and separatist guerilla forces. Of the 16 schools in Nduga, 15 have now been closed. This has been accompanied by residents alleging that the military has killed at least 25 people, including 2 students, who were not connected separatist rebels. The dataset has previously coded the deaths of 11, 14 deaths are being associated with this event.",Violence against civilians
"On January 31, 2019, in Mapenduma village (Nduga, Papua), Indonesian Military (TNI) engaged in a gunfight with Papuan separatists, likely to be West Papua National Liberation Army members. One soldier suffered a gunshot wound.",Other
"On 31 January 2019, a Polish man in the police detention center in Wamena town (Kabupaten Jayawijaya, West Papua) was visited by men wearing T-shirts with ""Brimob"" (short name for Indonesia's paramilitary police) and assaulted and threatened with death by them while the prison guards watched. The Polish man is awaiting trial for treason for meeting with Papuan independence supporters.",Violence against civilians
"On January 30, 2019, in Lebak Bulus village of Cilandak subdistrict (South Jakarta, Jakarta), dozens of residents staged a protest in front of the MRT train depot demanding the city administration compensate them for their land on which the train depot stands.",Protests
"On 30 January 2019, a Polish man in the police detention center in Wamena town (Kabupaten Jayawijaya, West Papua) was visited by men wearing T-shirts with ""Brimob"" (short name for Indonesia's paramilitary police) and assaulted and threatened with death by them while the prison guards watched. The Polish man is awaiting trial for treason for meeting with Papuan independence supporters.",Violence against civilians
"On January 28, 2019, in Mapenduma village (Nduga, Papua), Papuan separatists, likely West Papua National Liberation Army members, fired at a military plane and shot at TNI forces who were securing the Mapenduma airport before the arrival of an Nduga Regent. One TNI soldier was killed and another seriously injured in the attack.",Other
"On January 28, 2019, in Waru village of Slogohimo subdistrict (Wonogiri, Central Java), hundreds of students at a state junior high school staged the second day of protest demanding the ousting of an English teacher who harassed a student.",Protests
"Property destruction: On 28 January 2019, an explosion occurred early in the morning outside the Beringin Asri Housing Complex in Ngaliyan in Semarang city (Semarang, Central Java). An assailant on a motorcycle launched what was later identified as a Molotov cocktail at motorcycles that then burnt up. This is part of a string of 28 coordinated vehicular arson attacks by unidentified perpetrators in Kendal, Grobogan and the Semarang Regency since December 2018. Police suggest it is organized and by people specifically trained. They surmise it is to create fear before the presidential election and they have formed a special team to counter the acts of terror in Central Java.",Other
"On January 26, 2019, in Waru village of Slogohimo subdistrict (Wonogiri, Central Java), hundreds of students at a state junior high school staged a protest demanding the ousting of an English teacher who harassed a student.",Protests
"On 10 December 2015, at least 12 human rights activists from human rights NGO KontraS staged a demonstration in Central Jakarta district, Jakarta city, to commemorate International Human Rights Day. The local police arrested them alleging they violated a new by-law of not providing proper warning. They were released without charges the same day. [size=12]",Protests
"On January 18, 2019, in Jakarta province, university students staged a protest against violent military action in Papua's Nduga regency in pursuit of the West Papua Liberation Army separatists.",Protests
"On January 18, 2019, in Bali province, university students staged a protest against violent military action in Papua's Nduga regency in pursuit of the West Papua Liberation Army separatists.",Protests
"On January 18, 2019, in Salatiga city (Salatiga, Central Java), university students staged a protest against violent military action in Papua's Nduga regency in pursuit of the West Papua Liberation Army separatists.",Protests
"On January 18, 2019, in Ambon city (Ambon, Maluku), university students staged a protest against violent military action in Papua's Nduga regency in pursuit of the West Papua Liberation Army separatists.",Protests
"On January 18, 2019, in Puncak Jaya regency (Papua), West Papua Liberation Army militants attacked an Indonesian military and police task force during a joint operation in the Highlands directed at the West Papua Liberation Army. One Indonesian military soldier was killed in the attack.",Other
"On January 17, 2019, in Tanah Abang subdistrict (Central Jakarta, Jakarta), Public Order Agency (municipal police) members clashed with street vendors because the vendors were unwilling to be cleaned out of the public street. The number of injuries was not reported.",Riots
"On January 15, 2019, in Tanjung Priok district (North Jakarta, Jakarta), people staged a demonstration and two people wearing rat masks pretended to eat banknotes in front of the Elections Supervisory Agency office in a protest against corruption in the coal industry.",Protests
"Property destruction: On 15 January 2019, a militant Islamist group comprised of the FPI, Indonesian military and police, and local residents, raided the offices of an HIV prevention organization, the Indonesian Social Change Organization, in Pekanbaru city, Riau province, on suspicion that the group had been conducting ""LGBT activities."" This incident follows a pattern of similar anti-LGBT vigilante raids across Indonesia.",Other
"On January 13, 2019, in Medan Labuhan district (Medan, North Sumatra), hundreds of residents staged a demonstration rally to protest against a house of worship that was converted from a residence to accommodate a Bethel Indonesia Church (GBI) congregation.",Protests
"On January 10, 2019, in Surakarta town (Surakarta, Central Java), two groups of inmates clashed after visitors to an imprisoned member of a mass organization told other mass organization members that another group of prisoners had insulted them.",Riots
"On January 9, 2019, near the Sinak area (Puncak Jaya, Papua), the Indonesian military engaged in a gun battle with Papuan separatists believed to be West Papua National Liberation Army. One separatists was killed and one solider was injured.",Other
"On 9 January 2019, a member of the National Committee of West Papua, Sam Lokon, was arrested and placed in a cell in Jayapura city (Jayapura, Papua) and was tortured by being pushed towards a snake placed in his cell, beaten, kicked and slapped.",Violence against civilians
"On 3 January 2019, more than 80 police raided the office of the KNPB in Timika town, Mimika district, Papua without a warrant. They used batons to forcibly remove the members, dismantle their sign board, taking down a mural with pro-Papua independence symbols, and repaint the building with the colours of the Indonesian flag.",Violence against civilians
"On December 31, 2018, in Salubanga village, (Parigi Moutong, Central Sulawesi), Indonesian police engaged in a shootout with members of the East Indonesia Mujahidin (MIT) organization. Two Indonesian police were wounded.",Other
"On 31 December 2018, more than 100 police and military personnel interrupted the student association of KNPB as they were organizing a prayer gathering to commemorate the group's fifth anniversary in Timika town, Mimika district, Papua. They arrested and beat nine KNPB members. They also destroyed their office in the process.",Violence against civilians
"Around 30 December 2018, police forces allegedly burnt the local KNPB branch office in Asmat regency, Papua province.",Other
"On 30 December 2018, police forces searched the KNPB office in Waena subdistrict in Jayapura city, Papua province. The officers allegedly broke facilities and arbitrarily arrested a Papuan man who was collecting animal food near the KNPB office.",Other
"Around 30 December 2018, reports of raids and vandalism by police officers on KNPB offices included the branch office in Sorong city, West Papua province.",Other
"On December 25, 2018, in Bidara Cina subdistrict of Jatinegara district (East Jakarta, Jakarta), a TNI soldier shot and killed an off-duty TNI soldier in civilian clothing while he was driving. The reason for the attack was not ascertained; however, the TNI perpetrator was intoxicated at the time of the attack.",Violence against civilians
"On December 21, 2018, in Setiabudi subdistrict (South Jakarta, Jakarta), thousands of Muslims, including activists from the Islamic Defenders Front, rallied to protest China's mass detention of Uyghur Muslims in Xinjiang, demanding that Jakarta take strong diplomatic action against Beijing.",Protests
"On December 21, 2018, in Bandung city (Bandung, West Java), thousands of Muslims, including activists from the Islamic Defenders Front, rallied to protest China's mass detention of Uyghur Muslims in Xinjiang, demanding that Jakarta take strong diplomatic action against Beijing.",Protests
"On December 21, 2018, in Banda Aceh city (Banda Aceh, Aceh), thousands of Muslims, including activists from the Islamic Defenders Front, rallied to protest China's mass detention of Uyghur Muslims in Xinjiang, demanding that Jakarta take strong diplomatic action against Beijing.",Protests
"On December 21, 2018, in Medan city (Medan, North Sumatra), thousands of Muslims, including activists from the Islamic Defenders Front, rallied to protest China's mass detention of Uyghur Muslims in Xinjiang, demanding that Jakarta take strong diplomatic action against Beijing.",Protests
"On December 21, 2018, in Makassar city (Makassar, South Sulawesi), thousands of Muslims, including activists from the Islamic Defenders Front, rallied to protest China's mass detention of Uyghur Muslims in Xinjiang, demanding that Jakarta take strong diplomatic action against Beijing.",Protests
"On December 21, 2018, in Padang city (Padang, West Sumatra), thousands of Muslims, including activists from the Islamic Defenders Front, rallied to protest China's mass detention of Uyghur Muslims in Xinjiang, demanding that Jakarta take strong diplomatic action against Beijing.",Protests
"On December 19, 2018, in Jakarta province, dozens of West Papuan pro-independence activists staged a protest demanding a referendum and sovereignty over the Indonesia-ruled Papua region.",Protests
"On December 19, 2018, in Jayapura city (Jayapura, Papua), KNPB and other pro-Papua independence activists staged a protest to mark the day in 1961 when Indonesia launched a military campaign to take over the former Dutch New Guinea and to demand a referendum and sovereignty over the Indonesia-ruled Papua region. Police forcefully dispersed the crowds, ill-treated demonstrators and detained 50 activists. [size=no report]",Protests
"On December 19, 2018, in Timika city (Timika, Papua), KNPB and other pro-Papua independence activists staged a protest to mark the day in 1961 when Indonesia launched a military campaign to take over the former Dutch New Guinea and to demand a referendum and sovereignty over the Indonesia-ruled Papua region. Police detained 130 activists.",Protests
"On December 19, 2018, in Merauke city (Merauke, Papua), KNPB and other pro-Papua independence activists staged a protest to mark the day in 1961 when Indonesia launched a military campaign to take over the former Dutch New Guinea and to demand a referendum and sovereignty over the Indonesia-ruled Papua region. Police arrested four activists.",Protests
"On December 19, 2018, in Malang regency (East Java), pro-Papua independence activists staged a protest to mark the day in 1961 when Indonesia launched a military campaign to take over the former Dutch New Guinea and to demand a referendum and sovereignty over the Indonesia-ruled Papua region. Police forcefully dispersed the crowd and arrested 16 activists and subjected them to ill-treatments. [size=no report]",Protests
"On December 19, 2018, in Ternate regency (North Maluku), pro-Papua independence activists staged a protest to mark the day in 1961 when Indonesia launched a military campaign to take over the former Dutch New Guinea and to demand a referendum and sovereignty over the Indonesia-ruled Papua region. Police arrested 7 demonstrators and one student who allegedly recorded the arrests on his mobile phone. After being interrogated, the security force members cut the demonstrators hair, forced them to open their clothes and collectively beat them on the back, the back of the head and the face. [size=no report]",Protests
"On December 19, 2018, in Bali province, pro-Papua independence activists staged a protest to mark the day in 1961 when Indonesia launched a military campaign to take over the former Dutch New Guinea and to demand a referendum and sovereignty over the Indonesia-ruled Papua region. Police forcefully dispersed the crowd, resulting in the ill-treatment of four demonstrators. They also arrested dozens of activists. [size=no report]",Protests
"On December 18, 2018, in Gambir subdistrict (Central Jakarta, Jakarta), members of the Federation of Metal, Electronic, and Machine Workers Union staged a protest and urged Jakarta Governor Anies Baswedan to raise the 2019 provincial minimum wage (UMP).",Protests
"On 18 December 2018, a Papuan man was shot dead by security forces in Mapenduma district, Nduga Regency, Papua, while he was walking with several friends in the forest. This event is part of a number of extra-judicial killings committed by the security forces operation in Nduga Regency since 4 December 2018.",Violence against civilians
"On December 16, 2018, in Jakarta province, relatives of a woman who was widowed when her Kashmiri husband was killed in Jammu and Kashmir staged a protest demanding an end to the killings of Kashmiris.",Protests
"On December 13, 2018, in Gambir subdistrict (Central Jakarta, Jakarta), several family members of the victims of the crashed Lion Air flight staged a peaceful protest march at the Merdeka Palace, demanding that the president be actively involved in the completion of Lion Air victims' evacuation process.",Protests
"On December 12, 2018, in Ciracas subdistrict (East Jakarta, Jakarta), a mob of Indonesian Military (TNI) personnel ransacked and burned down part of Ciracas Police station because the police had not yet arrested the attackers of a captain in the Navy who was attacked by on December 10. TNI damaged official vehicles and left several officers seriously injured. Police detained seven people.",Other
"On 12 December 2018, two men who were caught having sex with underaged girls were publicly whipped 100 times by the authorities in front of a few dozen people in sports stadium in Lhokseumawe city, Aceh province.",Violence against civilians
"On 11 December 2018, a Sharia law enforcement official publicly whipped a group of men for breaking Islamic law by engaging in online gambling in East Aceh district, coded at the capital Idi Rayeuk city, East Aceh district, Aceh province. They each received between 7 to 11 strikes in front of a crowd outside a mosque.",Violence against civilians
